conf_val,fit_m,fit_b,cov_m,cov_b,cov_corr,root_mean_square,root_mean_log_square_error,mean_log_abs_diff
0.52,0.44720973364657934,34.72214936667004,3.868887368559629e-05,673.023230671143,-0.00713148079838259,3065.973654748045,0.47165677491016755,6.20758618124847
0.53,0.4454969635583241,31.44876066017611,3.590968515777239e-05,624.6770715960448,-0.006619195799281153,3097.6918738951276,0.45334428455762427,6.201554360743449
0.54,0.4436830140721053,27.92215069172863,3.3263313621306174e-05,578.6413680110181,-0.006131392821322629,3119.2208577854544,0.438040771189392,6.202433210483137
0.55,0.4419743349180049,24.42346168151315,3.260446828619163e-05,567.1802378795281,-0.006009948529750436,3205.4231637586495,0.42426903244712355,6.222540194287017
0.56,0.4400794475595708,19.642262931272782,3.231476053864108e-05,562.1405449230614,-0.005956546994839158,3221.2846603597486,0.4135755650430091,6.200837928187502
0.5700000000000001,0.43828753256781394,17.151517705907487,3.142653156808089e-05,546.6891069670196,-0.005792820650681576,3309.8837818580187,0.4012903518511633,6.204304099664433
0.58,0.43644944779505285,15.030059981359877,3.010788318791751e-05,523.7501865903524,-0.005549755533837544,3300.295764918358,0.38270140481541365,6.184660873471259
0.59,0.4345632441730525,14.799572814085032,2.9405595076108744e-05,511.53333536556636,-0.005420303479352919,3366.234044389976,0.38089048826516514,6.192327382713531
0.6,0.43287192071464253,13.599369548316941,2.805426229661943e-05,488.02584428803965,-0.00517121368037175,3391.7176820672044,0.3821444501236603,6.182635127936646
0.61,0.4309716474558424,12.36662329334208,2.7239049312668692e-05,473.8445765519398,-0.005020946298879038,3405.4546013404206,0.38778132130582066,6.181275048178007
0.62,0.4292399738298844,11.843806794033123,2.691972601737686e-05,468.289697969215,-0.004962085760126839,3406.0280661540287,0.3993683862673049,6.205609915764589
0.63,0.4272408258494753,9.767808792283791,2.623400068615827e-05,456.3609692726855,-0.004835686706169098,3445.2614557362444,0.38677040078720304,6.164742586515909
0.64,0.42541863141733294,8.250970378117952,2.585127774138067e-05,449.7032041787875,-0.004765139774408765,3516.4572658086263,0.3767706284414899,6.17779186381268
0.65,0.42338043991937907,6.034301036928824,2.4966213836441905e-05,434.3068250158017,-0.004601996843583095,3596.5573616363704,0.3580942204871359,6.139817462335907
0.66,0.42134446109099927,5.965538530694528,2.4679195011079654e-05,429.3139079648032,-0.004549090954968218,3649.7144620044205,0.35723796448076406,6.1570041643838636
0.67,0.41913530080110356,5.622355828337859,2.4192164778176887e-05,420.84163597657084,-0.004459317166710563,3727.0921393931617,0.3564986996442835,6.187164331529888
0.68,0.41694096221590665,4.646967600046368,2.3984395910441474e-05,417.2273339492613,-0.0044210193423076674,3832.097725684637,0.3750056340085939,6.242861114162829
0.6900000000000001,0.4146124331111751,2.545222464670242,2.3180149739392745e-05,403.2368425048017,-0.004272773462300516,3845.385890089638,0.35666182641455074,6.196380897715564
